performance_metric_3,unit_serial_number,process_end_date
19.194,Unit_1,2022-04-22 11:27
18.732,Unit_2,2022-02-21 22:46
19.067999999999998,Unit_3,2022-04-21 2:28
19.11,Unit_4,2022-04-27 7:11
19.067999999999998,Unit_5,2022-05-02 7:45
19.235999999999997,Unit_6,2022-05-02 18:02
19.278,Unit_7,2022-02-21 11:50
18.689999999999998,Unit_8,2022-04-21 6:08
19.194,Unit_9,2022-04-21 4:04
18.732,Unit_10,2022-03-08 22:18
18.9,Unit_11,2022-03-09 1:41
19.235999999999997,Unit_12,2022-04-29 6:18
19.194,Unit_13,2022-03-10 0:47
19.235999999999997,Unit_14,2022-03-09 23:05
19.32,Unit_15,2022-05-06 10:34
19.026,Unit_16,2022-01-16 1:06
19.235999999999997,Unit_17,2022-02-19 13:02
18.942,Unit_18,2022-03-08 12:54
18.564,Unit_19,2022-03-08 13:09
18.857999999999997,Unit_20,2022-03-08 22:14
18.48,Unit_21,2022-03-08 17:34
18.942,Unit_22,2022-03-10 2:12
18.984,Unit_23,2022-03-10 1:59
19.026,Unit_24,2022-03-10 1:43
19.067999999999998,Unit_25,2022-03-10 3:28
18.857999999999997,Unit_26,2022-03-10 3:35
19.11,Unit_27,2022-03-10 4:23
19.235999999999997,Unit_28,2022-03-10 3:36
18.522,Unit_29,2022-03-10 6:23
18.732,Unit_30,2022-03-10 9:13
18.522,Unit_31,2022-03-10 16:59
19.067999999999998,Unit_32,2022-03-11 1:26
18.774,Unit_33,2022-03-11 1:31
19.11,Unit_34,2022-03-11 2:36
18.438,Unit_35,2022-03-11 2:50
18.27,Unit_36,2022-03-11 4:02
19.32,Unit_37,2022-03-11 7:26
18.732,Unit_38,2022-03-11 6:51
18.522,Unit_39,2022-03-11 7:29
19.278,Unit_40,2022-03-11 16:30
18.648,Unit_41,2022-03-11 15:33
19.152,Unit_42,2022-03-11 17:46
19.194,Unit_43,2022-03-11 16:34
19.235999999999997,Unit_44,2022-03-11 18:06
18.857999999999997,Unit_45,2022-03-11 21:42
18.732,Unit_46,2022-03-12 2:29
18.605999999999998,Unit_47,2022-03-12 6:52
18.395999999999997,Unit_48,2022-03-12 8:44
18.395999999999997,Unit_49,2022-03-12 7:38
19.698,Unit_50,2022-03-12 7:10
19.152,Unit_51,2022-03-12 6:50
19.32,Unit_52,2022-03-12 8:15
19.362,Unit_53,2022-03-12 8:20
18.564,Unit_54,2022-03-12 10:51
18.942,Unit_55,2022-03-12 9:43
19.026,Unit_56,2022-03-12 10:48
18.9,Unit_57,2022-03-12 11:38
19.067999999999998,Unit_58,2022-03-12 14:21
19.32,Unit_59,2022-03-12 12:35
18.564,Unit_60,2022-03-12 11:47
19.194,Unit_61,2022-03-12 14:40
18.732,Unit_62,2022-03-12 19:01
18.984,Unit_63,2022-03-12 19:52
19.32,Unit_64,2022-03-12 19:16
18.984,Unit_65,2022-03-12 22:03
19.278,Unit_66,2022-03-13 0:18
18.48,Unit_67,2022-03-13 1:34
19.152,Unit_68,2022-03-12 21:47
19.11,Unit_69,2022-03-12 23:50
19.067999999999998,Unit_70,2022-03-13 1:13
18.689999999999998,Unit_71,2022-03-13 4:48
19.278,Unit_72,2022-03-13 6:59
19.194,Unit_73,2022-03-13 6:21
18.732,Unit_74,2022-03-13 7:23
18.774,Unit_75,2022-03-13 7:13
19.362,Unit_76,2022-03-13 13:44
19.152,Unit_77,2022-03-13 11:19
18.942,Unit_78,2022-03-13 15:37
18.857999999999997,Unit_79,2022-03-13 18:44
19.026,Unit_80,2022-03-13 17:42
19.067999999999998,Unit_81,2022-03-14 2:02
18.732,Unit_82,2022-03-14 3:05
18.9,Unit_83,2022-03-14 2:38
19.32,Unit_84,2022-03-14 3:49
19.362,Unit_85,2022-03-14 5:42
19.11,Unit_86,2022-03-14 4:28
18.942,Unit_87,2022-03-14 6:35
18.984,Unit_88,2022-03-14 7:41
18.732,Unit_89,2022-03-14 7:34
19.11,Unit_90,2022-03-14 9:40
18.395999999999997,Unit_91,2022-03-14 10:34
18.857999999999997,Unit_92,2022-03-14 15:40
18.689999999999998,Unit_93,2022-02-21 21:17
19.194,Unit_94,2022-03-16 7:36
18.857999999999997,Unit_95,2022-03-16 16:01
19.278,Unit_96,2022-03-16 15:28
19.404,Unit_97,2022-03-18 18:16
19.278,Unit_98,2022-03-18 16:08
18.48,Unit_99,2022-03-19 0:31
19.235999999999997,Unit_100,2022-03-19 2:15
19.32,Unit_101,2022-03-19 6:11
19.067999999999998,Unit_102,2022-03-19 19:22
19.235999999999997,Unit_103,2022-03-19 19:37
18.816,Unit_104,2022-03-19 19:27
18.942,Unit_105,2022-03-19 18:31
19.152,Unit_106,2022-03-25 12:17
19.32,Unit_107,2022-03-20 9:22
19.067999999999998,Unit_108,2022-03-20 16:28
19.32,Unit_109,2022-03-20 22:05
18.816,Unit_110,2022-03-21 3:45
19.32,Unit_111,2022-03-21 3:46
18.732,Unit_112,2022-03-21 6:17
19.026,Unit_113,2022-03-21 12:02
19.278,Unit_114,2022-03-21 10:55
18.48,Unit_115,2022-03-21 23:50
19.067999999999998,Unit_116,2022-03-21 14:53
18.816,Unit_117,2022-03-21 17:05
18.816,Unit_118,2022-03-21 23:47
19.11,Unit_119,2022-03-22 7:03
19.32,Unit_120,2022-03-22 7:15
19.11,Unit_121,2022-03-22 18:35
18.395999999999997,Unit_122,2022-03-22 17:50
19.067999999999998,Unit_123,2022-03-22 19:55
18.605999999999998,Unit_124,2022-03-22 23:46
18.857999999999997,Unit_125,2022-03-23 13:56
19.278,Unit_126,2022-03-23 13:49
18.605999999999998,Unit_127,2022-03-23 17:20
18.522,Unit_128,2022-03-23 17:24
18.522,Unit_129,2022-03-23 17:55
19.11,Unit_130,2022-03-23 19:35
19.194,Unit_131,2022-03-23 22:12
19.235999999999997,Unit_132,2022-03-23 22:31
19.152,Unit_133,2022-03-24 4:46
18.984,Unit_134,2022-03-24 7:29
18.942,Unit_135,2022-03-24 18:52
19.11,Unit_136,2022-03-24 21:27
18.48,Unit_137,2022-03-24 21:37
18.48,Unit_138,2022-03-24 20:15
19.278,Unit_139,2022-03-25 3:14
19.278,Unit_140,2022-03-25 3:23
18.48,Unit_141,2022-03-26 18:10
19.32,Unit_142,2022-03-26 18:31
19.278,Unit_143,2022-03-25 21:01
19.32,Unit_144,2022-03-25 21:54
19.067999999999998,Unit_145,2022-03-26 1:16
18.816,Unit_146,2022-03-26 3:51
18.564,Unit_147,2022-03-26 2:14
18.732,Unit_148,2022-03-26 11:18
19.067999999999998,Unit_149,2022-03-26 6:39
19.235999999999997,Unit_150,2022-03-26 5:46
18.732,Unit_151,2022-03-26 9:29
19.404,Unit_152,2022-03-26 12:56
19.067999999999998,Unit_153,2022-03-26 13:06
18.689999999999998,Unit_154,2022-03-26 12:06
19.152,Unit_155,2022-03-26 15:31
18.564,Unit_156,2022-03-26 14:20
19.067999999999998,Unit_157,2022-03-26 13:54
19.278,Unit_158,2022-03-30 16:14
18.942,Unit_159,2022-03-30 19:45
18.942,Unit_160,2022-03-30 20:22
19.152,Unit_161,2022-03-31 2:14
18.689999999999998,Unit_162,2022-03-31 3:21
18.395999999999997,Unit_163,2022-03-31 4:37
18.312,Unit_164,2022-03-31 10:32
18.984,Unit_165,2022-03-31 5:28
19.278,Unit_166,2022-03-31 8:38
19.11,Unit_167,2022-03-31 3:52
19.152,Unit_168,2022-03-31 7:58
18.816,Unit_169,2022-03-31 6:47
18.732,Unit_170,2022-03-31 8:23
18.942,Unit_171,2022-03-31 8:32
18.984,Unit_172,2022-03-31 7:21
18.857999999999997,Unit_173,2022-03-31 11:24
19.067999999999998,Unit_174,2022-03-31 10:21
19.235999999999997,Unit_175,2022-03-31 11:27
18.984,Unit_176,2022-03-31 11:30
